threshold,precision,recall,f1
0.6360589861869812,0.016058052595541456,0.8359305033136306,0.03151078905408398
0.6360732913017273,0.016058107847724958,0.8359305033136306,0.03151089543218454
0.6360775828361511,0.016058163100288684,0.8359305033136306,0.03151100181100337
0.6360833644866943,0.016058218353232633,0.8359305033136306,0.031511108190540454
0.6360864639282227,0.016054832793699184,0.8357513881425757,0.031504462649874304
0.6360884308815002,0.016054888035564364,0.8357513881425757,0.03150456900805363
0.636090099811554,0.01605505376344086,0.8357513881425757,0.031504888086900405
0.6361191272735596,0.01605510900682669,0.8357513881425757,0.03150499444795228
0.6361231803894043,0.016055164250592693,0.8357513881425757,0.03150510080972232
0.636133074760437,0.01605521949473887,0.8357513881425757,0.03150520717221052
0.6361352205276489,0.016055550967599856,0.8357513881425757,0.03150584536222154
0.636138379573822,0.01605216523579306,0.8355722729715207,0.031499199489681454
0.6361443400382996,0.016052220471140414,0.8355722729715207,0.03149930583511877
0.6361473202705383,0.016052275706867895,0.8355722729715207,0.03149941218127416
0.6361500024795532,0.016048889928839828,0.8353931578004657,0.031492766219702185
0.6361563801765442,0.016048945153486965,0.8353931578004657,0.031492872544496835
0.636179506778717,0.016045945843642356,0.8352140426294107,0.031486970655077384
0.6361860632896423,0.016046001059868822,0.8352140426294107,0.03148707696353548
0.6361914277076721,0.016046056276475304,0.8352140426294107,0.031487183272711446
0.6362029314041138,0.016046111493461804,0.8352140426294107,0.03148728958260526
0.6362142562866211,0.016046166710828324,0.8352140426294107,0.03148739589321694
0.6362223625183105,0.016046277146701447,0.8352140426294107,0.03148760851659395
0.6362297534942627,0.016042891161612685,0.8350349274583557,0.031480962156144765
0.6362362504005432,0.01604294636865741,0.8350349274583557,0.031481068446828624
0.6362467408180237,0.016043001576082093,0.8350349274583557,0.03148117473823023
0.6362583041191101,0.01604305678388674,0.8350349274583557,0.0314812810303496
0.6362735629081726,0.016043111992071358,0.8350349274583557,0.031481387323186734
0.6362801790237427,0.016043167200635946,0.8350349274583557,0.031481493616741636
0.6362804770469666,0.016043222409580508,0.8350349274583557,0.03148159991101432
0.6362988352775574,0.016043388038694092,0.8350349274583557,0.03148191879813913
0.6362994313240051,0.016043443249158598,0.8350349274583557,0.03148202509528301
0.6363058090209961,0.016043498460003098,0.8350349274583557,0.03148213139314471
0.636317789554596,0.016040167525285375,0.8348558122873008,0.03147559102140318
0.6363517045974731,0.016040222725426902,0.8348558122873008,0.03147569729861699
0.6363529562950134,0.01604027792594836,0.8348558122873008,0.0314758035765485
0.6363643407821655,0.01604055393425472,0.8348558122873008,0.03147633497697164
0.6363669037818909,0.01604066434023691,0.8348558122873008,0.031476547542164994
0.6363711953163147,0.016040719543797943,0.8348558122873008,0.03147665382583829
0.6363758444786072,0.01604077474773894,0.8348558122873008,0.031476760110229346
0.6363798975944519,0.01604082995205991,0.8348558122873008,0.031476866395338164
0.636380136013031,0.016041823694816437,0.8348558122873008,0.031478779650042914
0.6363953351974487,0.016041878906357554,0.8348558122873008,0.031478885948790634
0.6364081501960754,0.016042044543261205,0.8348558122873008,0.031479204849341295
0.6364246010780334,0.016042210183585388,0.8348558122873008,0.031479523756353336
0.6364269256591797,0.016042265397786918,0.8348558122873008,0.03147963006012658
0.6364357471466064,0.016042320612368523,0.8348558122873008,0.03147973636461779
0.6364446878433228,0.016042375827330205,0.8348558122873008,0.03147984266982696
0.6364458203315735,0.016042431042671973,0.8348558122873008,0.03147994897575411
0.636468231678009,0.016042486258393825,0.8348558122873008,0.03148005528239924
0.636494517326355,0.016042541474495766,0.8348558122873008,0.03148016158976236
0.6365012526512146,0.016042596690977802,0.8348558122873008,0.03148026789784347
0.6365249156951904,0.016042651907839937,0.8348558122873008,0.0314803742066426
