feature,value,shap_value
SBP_std_6h_7,9.928494347080022,-0.18796632
SBP_std_6h_8,11.968361068528413,-0.1506744
SBP_diff_std_6h_1,38.30050551115625,-0.5612983
SBP_diff_std_6h_2,38.30050551115625,0.0
SBP_diff_std_6h_3,38.30050551115625,0.015520103
SBP_diff_std_6h_4,27.140960316277667,-0.38098598
SBP_diff_std_6h_5,22.184309916877606,-0.053439498
SBP_diff_std_6h_7,17.216193248966512,0.046022028
SBP_diff_std_6h_8,17.160031080002934,0.060194686
MAP_max_6h_1,88.19971698113207,-0.02565904
MAP_max_6h_2,88.19971698113207,-0.01829307
MAP_max_6h_3,88.19971698113207,-0.0055313217
MAP_max_6h_4,88.66499999999999,-0.293987
MAP_max_6h_5,91.33,-0.058329057
MAP_max_6h_7,91.33,-0.00588637
MAP_max_6h_8,91.33,0.009974893
MAP_min_6h_1,88.19971698113207,0.0
MAP_min_6h_2,75.33,0.117064506
MAP_min_6h_3,75.33,0.09270764
MAP_min_6h_4,75.33,-0.0141197145
MAP_min_6h_5,75.33,-0.09578923
MAP_min_6h_7,75.33,-0.2000394
MAP_min_6h_8,76.33,0.057170037
MAP_mean_6h_1,88.19971698113207,0.0
MAP_mean_6h_2,81.76485849056604,0.059290074
MAP_mean_6h_3,83.17657232704403,-0.037705462
MAP_mean_6h_4,84.54867924528301,-0.017768241
MAP_mean_6h_5,85.90494339622641,-0.032831058
MAP_mean_6h_7,83.74833333333333,-0.038734782
MAP_mean_6h_8,83.91499999999999,0.029608915
MAP_median_6h_1,88.19971698113207,0.0
MAP_median_6h_2,81.76485849056604,0.0
MAP_median_6h_3,86.0,-0.0540167
MAP_median_6h_4,87.09985849056604,-0.0383835
MAP_median_6h_5,88.19971698113207,-0.0074395584
MAP_median_6h_7,85.0825,0.031580236
MAP_median_6h_8,85.0825,-0.09487788
MAP_std_6h_1,9.100264149310156,-0.10784837
MAP_std_6h_2,9.100264149310156,-0.1356581
MAP_std_6h_3,6.883764352585004,-0.08176393
MAP_std_6h_4,6.254719606419665,-0.017032593
MAP_std_6h_5,6.207930432267181,-0.09805512
MAP_std_6h_7,6.3766328627785,0.0060301567
MAP_std_6h_8,6.120521219634817,-0.07534675
MAP_diff_std_6h_1,16.645093504570614,0.11545605
MAP_diff_std_6h_2,16.645093504570614,0.0
MAP_diff_std_6h_3,16.645093504570614,-0.100824654
MAP_diff_std_6h_4,11.96888836550601,0.16860367
MAP_diff_std_6h_5,9.852804968296862,-0.09779739
MAP_diff_std_6h_7,8.665469463314682,0.058000002
MAP_diff_std_6h_8,6.797205798463563,-0.0992454
Resp_max_6h_1,24.712264150943398,0.22956707
Resp_max_6h_2,24.712264150943398,-0.029995799
Resp_max_6h_3,24.712264150943398,0.069380015
Resp_max_6h_4,30.0,-0.056515492
Resp_max_6h_5,30.0,-0.07053632
Resp_max_6h_7,30.0,0.018237086
Resp_max_6h_8,30.0,0.016453058
Resp_min_6h_1,24.712264150943398,0.0
Resp_min_6h_2,19.0,0.01617661
Resp_min_6h_3,19.0,-0.1235584
Resp_min_6h_4,19.0,-0.049571157
Resp_min_6h_5,19.0,0.06146706
Resp_min_6h_7,19.0,0.021785216
Resp_min_6h_8,22.0,0.14046216
Resp_mean_6h_1,24.712264150943398,0.0
Resp_mean_6h_2,21.8561320754717,-0.008365114
Resp_mean_6h_3,21.904088050314467,-0.041835397
Resp_mean_6h_4,23.92806603773585,-0.10110925
Resp_mean_6h_5,24.04245283018868,-0.018887965
Resp_mean_6h_7,24.416666666666668,-0.014368404
Resp_mean_6h_8,26.083333333333332,-0.09035887
Resp_median_6h_1,24.712264150943398,0.0
Resp_median_6h_2,21.8561320754717,0.0
Resp_median_6h_3,22.0,0.09119322
Resp_median_6h_4,23.3561320754717,0.021918118
Resp_median_6h_5,24.5,-0.0060956227
Resp_median_6h_7,23.25,-0.037116986
Resp_median_6h_8,26.75,-0.07433914
Resp_std_6h_1,4.039180717060892,-0.02715992
Resp_std_6h_2,4.039180717060892,-0.06921775
Resp_std_6h_3,2.857339629639367,-0.062074687
Resp_std_6h_4,4.6721380630645974,-0.05364926
Resp_std_6h_5,4.054266549166568,-0.010954878
Resp_std_6h_7,4.3175996417762805,-0.059802637
Resp_std_6h_8,3.6934626932821004,-0.36453727
Resp_diff_std_6h_1,6.160501060620535,0.2355586
Resp_diff_std_6h_2,6.160501060620535,0.0
Resp_diff_std_6h_3,6.160501060620535,-0.12372783
Resp_diff_std_6h_4,6.939377190846704,-0.031408805
Resp_diff_std_6h_5,6.729752291447018,0.1920444
Resp_diff_std_6h_7,6.1329576651336115,-0.005044123
Resp_diff_std_6h_8,5.326036675302441,-0.2098945
SOFA_score_mean_global_6,1.8703703703703705,0.0
SOFA_score_median_global_6,2.0,0.0
SOFA_score_max_global_6,3.0,0.0
SOFA_score_last_global_6,2.0,0.0
NEWS_score_mean_global_6,7.796296296296297,0.0
NEWS_score_median_global_6,8.0,0.0
NEWS_score_max_global_6,11.0,0.0
NEWS_score_last_global_6,8.0,0.0
qSOFA_score_mean_global_6,0.8888888888888888,0.0
qSOFA_score_median_global_6,1.0,0.0
qSOFA_score_max_global_6,2.0,0.0
qSOFA_score_last_global_6,1.0,0.0
HR_missing_interval_mean_global_6,1.0,0.0
O2Sat_missing_interval_mean_global_6,1.1111111111111112,0.0
SBP_missing_interval_mean_global_6,1.0,0.0
MAP_missing_interval_mean_global_6,1.0,0.0
Resp_missing_interval_mean_global_6,1.0,0.0
HR_max_6h_6,110.0,-0.02201676
HR_min_6h_6,89.0,-0.053490218
HR_mean_6h_6,98.51808176100629,0.00960693
HR_median_6h_6,99.55424528301887,-0.009621743
HR_std_6h_6,8.127351874561564,-0.080700055
HR_diff_std_6h_6,8.6116417080896,0.0023186966
O2Sat_max_6h_6,99.0,0.0014074566
O2Sat_min_6h_6,88.5,-0.18998018
O2Sat_mean_6h_6,93.3199685534591,-0.03314237
O2Sat_median_6h_6,93.20990566037736,0.024033112
O2Sat_std_6h_6,3.7452027184332395,0.08008377
O2Sat_diff_std_6h_6,4.829143367875645,-0.14483656
SBP_max_6h_6,128.16509433962264,0.04575476
SBP_min_6h_6,98.0,-0.011047986
SBP_mean_6h_6,119.11084905660378,-0.006978379
SBP_median_6h_6,122.0,-0.027603818
SBP_std_6h_6,10.62238418787499,0.05573508
SBP_diff_std_6h_6,19.233852043616803,-0.0059737917
MAP_max_6h_6,91.33,7.81063e-05
MAP_min_6h_6,75.33,-0.075069904
MAP_mean_6h_6,85.61495283018867,-0.058857884
MAP_median_6h_6,87.09985849056604,0.04861256
MAP_std_6h_6,5.597793080477388,0.05222623
MAP_diff_std_6h_6,9.243435534892752,-0.0028188154
Resp_max_6h_6,30.0,-0.18729353
Resp_min_6h_6,19.0,-0.00872853
Resp_mean_6h_6,23.70204402515723,-0.09284134
Resp_median_6h_6,23.25,-0.05849624
Resp_std_6h_6,3.720877682565018,0.052218117
Resp_diff_std_6h_6,5.929980741226201,-0.023660306
base_value (E[f(x)]),,-3.2584233
final_prediction_probability,,7.110384e-05
